,term,frequency
0,"('play',)",190
1,"('travel',)",163
2,"('road',)",125
3,"('time',)",115
4,"('one',)",85
5,"('save',)",56
6,"('long',)",56
7,"('sweet',)",55
8,"('reward',)",55
9,"('sauce',)",54
10,"('guangzhou',)",45
11,"('prepare',)",39
12,"('fish',)",37
13,"('tibet',)",35
14,"('tourism',)",32
15,"('xinjiang',)",30
16,"('line',)",28
17,"('chengdu',)",28
18,"('mountain',)",28
19,"('feel',)",27
20,"('see',)",26
21,"('park',)",25
22,"('sichuan',)",24
23,"('shenzhen',)",23
24,"('world',)",22
25,"('sea',)",19
26,"('parent',)",18
27,"('child',)",18
28,"('small',)",17
29,"('scenery',)",17
30,"('life',)",17
31,"('正',)",16
32,"('guide',)",16
33,"('soul',)",16
34,"('trip',)",15
35,"('tour',)",15
36,"('dream',)",15
37,"('lake',)",14
38,"('qinghai',)",14
39,"('game',)",13
40,"('旅行',)",12
41,"('成都',)",12
42,"('sport',)",12
43,"('city',)",11
44,"('meet',)",11
45,"('daocheng',)",11
46,"('red',)",11
47,"('body',)",11
48,"('village',)",11
49,"('west',)",11
50,"('beautiful',)",11
51,"('horse',)",11
52,"('day',)",10
53,"('小店',)",10
54,"('aden',)",10
55,"('island',)",10
56,"('open',)",10
57,"('journey',)",10
58,"('finally',)",10
59,"('capital',)",10
60,"('1',)",9
61,"('lot',)",9
62,"('ticket',)",9
63,"('nanjing',)",9
64,"('east',)",9
65,"('big',)",9
66,"('新',)",9
67,"('lhasa',)",9
68,"('complete',)",9
69,"('football',)",9
70,"('area',)",9
71,"('set',)",8
72,"('delicious',)",8
73,"('walk',)",8
74,"('moment',)",8
75,"('3',)",8
76,"('2',)",8
77,"('high',)",8
78,"('good',)",8
79,"('people',)",8
80,"('river',)",8
81,"('winter',)",8
82,"('speed',)",8
83,"('318',)",7
84,"('7',)",7
85,"('share',)",7
86,"('days',)",7
87,"('old',)",7
88,"('read',)",7
89,"('card',)",7
90,"('heart',)",7
91,"('holy',)",7
92,"('free',)",7
93,"('way',)",7
94,"('环球',)",6
95,"('22',)",6
96,"('new',)",6
97,"('experience',)",6
98,"('together',)",6
99,"('chuanxi',)",6
100,"('ring',)",6
101,"('unique',)",6
102,"('hulunbeier',)",6
103,"('grassland',)",6
104,"('forest',)",6
105,"('eat',)",6
106,"('author',)",6
107,"('weibo',)",6
108,"('palace',)",6
109,"('bike',)",6
110,"('charter',)",6
111,"('cold',)",6
112,"('shed',)",6
113,"('wait',)",6
114,"('游戏',)",6
115,"('baby',)",6
116,"('via',)",6
117,"('black',)",6
118,"('吉',)",6
119,"('qingdao',)",6
120,"('field',)",6
121,"('glacier',)",6
122,"('xiapu',)",6
123,"('干',)",6
124,"('happy',)",5
125,"('home',)",5
126,"('drink',)",5
127,"('charm',)",5
128,"('fate',)",5
129,"('四川',)",5
130,"('weihai',)",5
131,"('large',)",5
132,"('summer',)",5
133,"('step',)",5
134,"('inner',)",5
135,"('mongolia',)",5
136,"('car',)",5
137,"('team',)",5
138,"('perfect',)",5
139,"('four',)",5
140,"('taste',)",5
141,"('friends',)",5
142,"('watch',)",5
143,"('wall',)",5
144,"('周',)",5
145,"('today',)",5
146,"('realize',)",5
147,"('deputched',)",5
148,"('majestic',)",5
149,"('potala',)",5
150,"('group',)",5
151,"('whole',)",5
152,"('write',)",5
