,label_Automotive,label_Books and Literature,label_Books and Literature>Poetry,label_Business and Finance,label_Business and Finance>Industries>Agriculture,label_Business and Finance>Industries>Apparel Industry,label_Business and Finance>Industries>Hospitality Industry,label_Business and Finance>Industries>Logistics and Transportation Industry,label_Business and Finance>Industries>Retail Industry,label_Education,label_Education>College Education,label_Events and Attractions,label_Events and Attractions>Amusement and Theme Parks,label_Events and Attractions>Bars & Restaurants,label_Events and Attractions>Museums & Galleries,label_Events and Attractions>National & Civic Holidays,label_Events and Attractions>Personal Celebrations and Life Events>Wedding,label_Events and Attractions>Zoos & Aquariums,label_Family and Relationships,label_Family and Relationships>Parenting>Parenting Children Aged 4-11,label_Fine Art,label_Fine Art>Dance,label_Fine Art>Fine Art Photography,label_Food & Drink,label_Food & Drink>Alcoholic Beverages,label_Food & Drink>Barbecues and Grilling,label_Food & Drink>Desserts and Baking,label_Food & Drink>Dining Out,label_Food & Drink>Non-Alcoholic Beverages,label_Food & Drink>World Cuisines,label_Hobbies & Interests>Arts and Crafts>Photography,label_Home & Garden,label_Medical Health>Diseases and Conditions,label_Medical Health>Pharmaceutical Drugs,label_Medical Health>Vaccines,label_News and Politics,label_News and Politics>Weather,label_Science>Environment,label_Shopping,label_Sports,label_Style & Fashion,label_Travel,label_Travel>Travel Locations>Asia Travel,label_Travel>Travel Locations>Europe Travel,label_Travel>Travel Preparation and Advice,label_Travel>Travel Type,label_Travel>Travel Type>Family Travel,label_Travel>Travel Type>Hotels and Motels,label_Travel>Travel Type>Rail Travel,label_Travel>Travel Type>Road Trips
label_Automotive,66,0,0,6,1,0,2,1,5,0,0,1,2,1,2,3,1,0,0,7,3,0,0,3,0,1,4,1,0,1,0,0,3,0,0,1,20,0,5,0,5,20,12,1,2,1,2,8,2,2
label_Books and Literature,0,48,0,0,0,0,1,3,3,4,1,1,0,1,2,1,0,0,0,8,7,1,0,5,0,0,8,1,1,3,1,0,7,0,0,0,9,1,1,0,0,13,3,0,9,1,0,3,1,1
label_Books and Literature>Poetry,0,0,81,2,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,45,0,0,1,5,1,1,1,0,5,0,1,0,0,0,1,5,1,0,1,2,24,9,1,1,0,0,1,0,1
label_Business and Finance,6,0,2,66,0,0,0,0,0,3,0,2,0,1,0,5,1,1,2,5,3,0,1,4,0,1,1,1,0,1,1,1,6,5,5,0,18,4,4,0,3,10,21,0,0,4,4,8,0,0
label_Business and Finance>Industries>Agriculture,1,0,0,0,97,0,0,2,13,1,0,3,0,0,1,0,0,0,5,4,0,0,8,5,2,0,2,0,4,1,1,1,0,2,0,1,5,19,11,1,1,32,5,2,4,1,0,0,0,0
label_Business and Finance>Industries>Apparel Industry,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,2,0,0,1,3,4,0,0,0,0,1,1,0
label_Business and Finance>Industries>Hospitality Industry,2,1,0,0,0,0,124,3,9,0,1,8,0,5,5,4,0,0,1,7,5,0,0,11,0,2,1,6,2,13,0,4,1,0,0,1,5,1,7,2,0,0,15,4,5,0,1,123,0,1
label_Business and Finance>Industries>Logistics and Transportation Industry,1,3,0,0,2,0,3,53,7,2,0,9,0,4,7,0,0,0,2,4,2,0,0,0,0,1,1,3,1,3,0,2,4,0,1,2,8,2,8,1,1,13,13,1,9,3,2,10,0,0
label_Business and Finance>Industries>Retail Industry,5,3,0,0,13,0,9,7,224,8,2,19,1,14,5,1,0,0,1,7,7,0,2,26,5,5,8,15,4,10,0,3,7,1,1,2,14,13,165,3,6,47,22,3,6,2,1,12,0,1
label_Education,0,4,0,3,1,0,0,2,8,94,0,5,0,8,14,5,0,1,4,28,7,0,0,4,1,1,2,7,0,5,0,2,10,4,3,1,7,4,6,4,4,17,5,1,4,1,2,3,0,0
